Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
250	238	0	7	95	1	0	0	429	620	8	0	11	1	0	0	402	23	6278	0	346	425
500	20	0	0	0	0	0	0	1532	8	14	0	71	0	121	0	1550	37	1869	0	1244	1448
750	96	0	0	36	0	0	0	2632	7	0	0	330	0	367	0	2587	48	3185	0	2105	2431
1000	0	0	0	0	0	0	0	3814	2	0	0	609	15	707	0	3712	7	4500	23	3042	3533
1250	0	0	0	0	16	0	0	4752	20	0	0	804	1	1085	0	4848	46	6255	0	4009	4582
1500	2	0	0	0	0	0	0	5862	13	0	0	1010	0	1606	0	5842	6	7114	0	4833	5608
1750	0	0	0	0	1	0	0	7031	44	0	0	1317	0	2137	14	6887	6	8543	0	5904	6618
2000	0	37	2	0	0	0	0	8100	3	0	0	1711	2	2963	0	8034	8	9729	0	6704	7697
2250	50	0	0	0	1	0	0	9182	4	0	0	2225	0	3731	0	9255	79	11191	0	8110	8642
2500	30	0	0	0	0	8	0	10324	52	0	0	3164	0	4497	0	10209	6	12458	0	8551	9592
2750	0	24	0	0	0	0	0	11213	0	0	0	4146	0	5315	0	11274	8	13764	0	9310	10670
3000	0	0	0	0	14	0	0	12379	0	0	0	4939	0	6511	0	12309	22	15202	0	10232	12017
3250	1	0	0	0	0	0	0	13530	0	0	0	6228	0	6628	0	13534	39	16105	0	11253	13000
3500	0	0	0	14	0	0	0	14857	0	11	0	7383	0	7015	0	14569	7	18285	0	12190	13821
3750	11	36	0	0	1	0	0	15661	46	15	0	7458	35	7614	1	15734	6	18855	0	13040	14840
4000	0	0	0	0	0	0	0	16976	0	0	0	8109	0	8243	0	16523	8	20315	0	13963	15840
4250	0	0	0	0	4	0	0	17830	0	0	0	9951	1	8685	0	18081	154	21626	0	14960	16862
4500	3	0	0	18	0	0	0	18866	0	0	0	9295	0	9221	0	18989	6	23960	0	15724	18013
4750	124	13	12	0	1	0	0	19902	0	1	0	9834	0	9844	0	19983	8	24822	0	16620	19506
5000	11	0	0	0	0	0	0	21287	0	0	0	10431	0	10310	0	21138	6	25920	0	17639	20010
5250	2	42	15	0	0	0	0	21998	128	0	0	10920	2	10900	0	22032	7	26947	0	18478	21061
5500	0	0	0	0	0	0	2	23351	21	0	0	11366	1	11320	0	23418	8	28479	0	19450	21995
5750	0	0	0	0	31	0	0	24406	0	0	0	11921	0	12317	7	24286	19	29739	0	20381	22991
6000	1	2	0	0	6	0	0	25457	0	0	0	12531	12	12336	0	25439	6	31209	0	21398	24506
6250	6	0	0	35	0	0	0	26380	0	0	0	13226	0	12945	0	26552	8	32456	0	22300	25297
6500	52	0	0	12	0	0	0	27041	0	0	0	13638	0	13352	0	28176	7	33610	0	23017	26291
6750	4	0	14	0	0	21	0	27924	0	29	0	14028	44	13746	0	28958	6	35312	0	24350	27202
7000	5	36	0	0	0	0	1	29292	4	0	0	14649	0	14421	0	29544	8	36539	0	25164	28911
7250	0	0	0	0	0	0	0	30205	0	3	0	15229	1	14932	0	30714	6	37674	0	25984	29508
7500	3	0	0	0	4	0	8	31356	23	0	0	15612	0	15379	0	32340	6	39991	0	26721	30644
7750	72	0	15	0	2	0	0	32259	13	0	0	16312	0	16475	0	33132	8	40865	0	27774	31721
8000	7	0	0	0	0	0	0	33844	0	0	0	17172	0	16451	0	33909	6	42370	0	28614	32401
8250	3	0	0	0	1	0	0	34533	0	2	0	17265	0	16962	0	35440	346	43193	0	29555	33839
8500	3	23	0	0	1	0	0	35513	2	0	0	17767	0	17578	0	36617	7	44999	0	30362	34622
8750	2	13	0	0	3	0	0	37513	8	0	0	18454	1	18088	0	37268	6	46571	0	31622	35771
9000	5	16	0	0	0	0	0	37713	0	0	0	18892	0	18481	0	38631	8	47988	0	32325	36761
9250	27	44	0	26	1	0	0	38661	0	0	0	19418	0	19469	0	39591	6	52012	0	33153	38002
9500	6	0	0	0	1	0	0	40805	54	0	0	20618	9	19491	0	40594	7	52667	0	34279	39419
9750	4	0	0	0	18	0	0	41044	0	35	0	20444	13	19989	8	41974	7	52238	0	35526	39917
10000	6	36	15	0	0	0	1	43271	15	0	0	21252	0	20604	0	42835	6	52299	0	35774	40877
10250	8	0	0	0	0	0	0	43193	13	0	0	21631	0	21012	0	44781	6	54675	0	36885	41439
10500	24	0	0	0	0	0	0	44012	288	0	0	22169	0	21512	0	44611	33	56026	0	38042	42980
10750	6	0	0	30	1	26	0	46172	9	0	0	23171	0	22468	0	45502	20	57524	0	38676	43990
11000	13	0	0	0	2	0	0	46385	0	0	0	23066	32	22442	12	48192	6	60424	0	39853	44820
11250	8	26	0	0	1	0	10	48509	0	0	0	23914	0	23254	0	47410	8	60128	0	41238	46051
11500	44	29	0	0	0	0	0	48780	0	0	0	24235	0	23866	0	49918	6	61440	12	41373	47072
